id,census_year,label,age_total,age_m,age_f
1,2021,0 - 4,515,265,250
2,2021,5 - 9,515,260,250
3,2021,10 - 14,555,265,290
4,2021,15 - 19,480,250,225
5,2021,20 - 24,530,255,275
6,2021,25 - 29,520,260,260
7,2021,30 - 34,505,235,270
8,2021,35 - 39,455,200,255
9,2021,40 - 44,475,220,255
10,2021,45 - 49,425,210,210
11,2021,50 - 54,440,210,230
12,2021,55 - 59,475,225,255
13,2021,60 - 64,515,240,280
14,2021,65 - 69,480,220,255
15,2021,70 - 74,445,200,250
16,2021,75 - 79,385,155,230
17,2021,80 - 84,295,125,170
18,2021,85+,465,235,250
